DATE,GOLD,INDEX,COFFEE,OIL,
20170703,1217.9,10288,125.85,34410,A
20170704,1223,10215,127.65,34840,A
20170705,1220.4,10299,126.75,34990,A
20170706,1222.2,10267,126.55,34000,A
20170707,1208.6,10202,126.25,33810,B
20170710,1212.1,10209,124.45,33430,B
20170711,1213.6,10342,126,33580,B
20170712,1218.1,10339,129.35,34230,A
20170713,1216.3,10419,131.7,33700,B
20170714,1226.6,10403,131.55,34270,A
20170717,1232.8,10435,131.9,33820,B
20170718,1241.1,10462,131.2,33970,B
20170719,1241.2,10500,135,34670,A
20170720,1244.8,10391,136.55,34210,A
20170721,1254.3,10328,132.55,33280,B
20170724,1253.9,10360,130.6,33770,B
20170725,1251.7,10362,134.8,35030,S
20170726,1249,10330,135.95,34880,A
20170727,1260,10447,137.85,35050,S
20170728,1268.4,10339,139.25,35540,S
20170731,1266.6,10355,137.85,35790,S
20170801,1272.6,10367,140.35,35130,S
20170802,1271.8,10453,140.2,35440,S
20170803,1267.8,10407,140.15,35000,S
20170804,1258.3,10439,142.05,35530,S
20170807,1258.2,10530,142.75,35510,S
20170808,1256.4,10525,142.65,35060,S
20170809,1273,10455,138.5,35460,S
20170810,1283.7,10330,140.3,34600,A
20170811,1287.7,10301,136.95,34140,A
20170814,1284.2,10229,132,34290,A
20170815,1273.7,10308,130.95,33520,B
20170816,1276.9,10254,128.45,33550,B
20170817,1286.4,10296,128.05,34530,A
20170818,1285.7,10257,126.4,33950,B
20170821,1290.8,10269,125.85,34110,A
20170822,1285.1,10349,126.25,34510,A
20170823,1288.9,10359,126.7,34610,A
20170824,1286.5,10447,130.2,34470,A
20170825,1292.5,10487,129.9,34060,A
20170828,1309.7,10489,127.3,34510,A
20170829,1313.1,10464,126.95,34250,A
20170830,1308.1,10530,128.15,35320,S
20170831,1316.2,10550,127.75,34900,A
20170901,1324.5,10574,126.5,34860,A
20170904,1332.8,10552,126.6,35270,S
20170905,1339.2,10582,127.9,35560,S
20170906,1333.9,10520,129.4,35490,S
20170907,1345.1,10491,130.6,35250,S
20170908,1346,10551,133.8,35530,S
20170911,1331,10563,136.6,35880,S
20170912,1328,10589,135.85,36480,SS
20170913,1323.4,10521,140,36790,SS
20170914,1324.7,10529,138.95,37260,SS
20170915,1320.4,10566,133.95,37020,SS
20170918,1306.3,10635,136.55,37740,SS
20170919,1306.2,10579,135,37780,SS
20170920,1312,10512,134.45,37830,SS
20170921,1290.6,10573,131.55,38800,SS
20170922,1293.3,10432,132.25,39120,SS
20170925,1306.8,10332,1309.2,1291,E
20170926,1297,10263,1305.6,1297,E
20170927,NA,10323,NA,NA,NA
